"","ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"259",93602,1,2020,"Elec- Commercial","Y",193,731855,3792
"260",93602,2,2020,"Elec- Commercial","Y",0,0,NA
"261",93602,3,2020,"Elec- Commercial","Y",191,692533,3626
"262",93603,1,2020,"Elec- Commercial","Y",0,0,NA
"263",93603,2,2020,"Elec- Commercial","Y",0,0,NA
"264",93603,3,2020,"Elec- Commercial","Y",0,0,NA
"265",93604,1,2020,"Elec- Commercial","Y",0,0,NA
"266",93604,2,2020,"Elec- Commercial","Y",0,0,NA
"267",93604,3,2020,"Elec- Commercial","Y",0,0,NA
"268",93608,1,2020,"Elec- Commercial","Y",0,0,NA
"269",93608,2,2020,"Elec- Commercial","Y",0,0,NA
"270",93608,3,2020,"Elec- Commercial","Y",0,0,NA
"271",93609,1,2020,"Elec- Commercial","Y",0,0,NA
"272",93609,2,2020,"Elec- Commercial","Y",0,0,NA
"273",93609,3,2020,"Elec- Commercial","Y",0,0,NA
"274",93610,1,2020,"Elec- Commercial","N",473,1242765,2627
"275",93610,2,2020,"Elec- Commercial","Y",0,0,NA
"276",93610,3,2020,"Elec- Commercial","Y",0,0,NA
"277",93611,1,2020,"Elec- Commercial","Y",1072,8040802,7501
"278",93611,2,2020,"Elec- Commercial","Y",1074,6803863,6335
"279",93611,3,2020,"Elec- Commercial","Y",1071,6528365,6096
"280",93612,1,2020,"Elec- Commercial","N",1448,8737096,6034
"281",93612,2,2020,"Elec- Commercial","Y",0,0,NA
"282",93612,3,2020,"Elec- Commercial","Y",0,0,NA
"283",93614,1,2020,"Elec- Commercial","Y",670,2890724,4315
"284",93614,2,2020,"Elec- Commercial","Y",0,0,NA
"285",93614,3,2020,"Elec- Commercial","Y",666,2507687,3765
"286",93615,1,2020,"Elec- Commercial","Y",0,0,NA
"287",93615,2,2020,"Elec- Commercial","Y",0,0,NA
"288",93615,3,2020,"Elec- Commercial","Y",0,0,NA
"289",93616,1,2020,"Elec- Commercial","Y",0,0,NA
"290",93616,2,2020,"Elec- Commercial","Y",0,0,NA
